"pub_name","venue_name","pub_year","pub_date","pub_vol","pub_type","isbn","city","edition_number","venue_type"
"International Symposium on Pervasive Displays","International Symposium on Pervasive Displays","2018","2018-06-06","5","Journal","nan","","",""
"Computer Applications in Engineering Education","Computer Applications in Engineering Education","2018","2018-05-01","4","Journal","nan","","",""
"IEEE J. Sel. Areas Commun.","IEEE J. Sel. Areas Commun.","2018","2018-09-01","23","Journal","nan","","",""
"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications","IEEE International Symposium on Personal, Indoor and Mobile Radio Communications","2018","2018-09-01","30","Journal","nan","","",""
"Signal, Image and Video Processing","Signal, Image and Video Processing","2018","2018-11-03","37","Journal","nan","","",""
"IACR Transactions on Symmetric Cryptology","IACR Transactions on Symmetric Cryptology","2018","2018-12-13","25","Journal","nan","","",""
"Computers & electrical engineering","Computers & electrical engineering","2018","2018-04-01","15","Journal","nan","","",""
"International Conference on Software and Computer Applications","International Conference on Software and Computer Applications","2018","2018-07-01","Vol. XY","Proceedings","978-628290907","Sydney","2021.0","Conference"
"International Journal of Geographical Information Science","International Journal of Geographical Information Science","2018","2018-12-11","38","Journal","nan","","",""
"International Conference on Computer Science and Application Engineering","International Conference on Computer Science and Application Engineering","2018","2018-10-22","7","Journal","nan","","",""
"Optics Express","Optics Express","2018","2018-04-27","21","Journal","nan","","",""
"Journal of the Medical Library Association","Journal of the Medical Library Association","2018","2018-01-01","44","Journal","nan","","",""
"International Joint Conference on Artificial Intelligence","International Joint Conference on Artificial Intelligence","2018","2018-07-01","Vol. XY","Proceedings","978-804512633","Sydney","2019.0","Workshop"
"Optimization Methods and Software","Optimization Methods and Software","2018","2018-11-02","12","Journal","nan","","",""
"Annual Conference on Genetic and Evolutionary Computation","Annual Conference on Genetic and Evolutionary Computation","2018","2018-07-06","Vol. XY","Proceedings","978-770937495","Toronto","2019.0","Workshop"
"Computer Vision and Image Understanding","Computer Vision and Image Understanding","2018","2018-10-01","47","Journal","nan","","",""
"Euromicro Symposium on Digital Systems Design","Euromicro Symposium on Digital Systems Design","2018","2018-08-01","Vol. XY","Proceedings","978-441731261","Tokyo","2019.0","Conference"
"IEEE/ACM Transactions on Networking","IEEE/ACM Transactions on Networking","2018","2018-08-16","7","Journal","nan","","",""
"International Conference on Networking and Network Applications","International Conference on Networking and Network Applications","2018","2018-10-01","Vol. XY","Proceedings","978-537788154","Barcelona","2022.0","Conference"
"International Conference on Knowledge and Smart Technology","International Conference on Knowledge and Smart Technology","2018","","Vol. XY","Proceedings","978-288208973","Rome","2021.0","Conference"
"IEICE Transactions on Fundamentals of Electronics Communications and Computer Sciences","IEICE Transactions on Fundamentals of Electronics Communications and Computer Sciences","2018","2018-03-01","41","Journal","nan","","",""
"International Conference on Interaction Design and Children","International Conference on Interaction Design and Children","2018","2018-06-19","42","Journal","nan","","",""
"National Foundation for Science and Technology Development Conference on Information and Computer Science","National Foundation for Science and Technology Development Conference on Information and Computer Science","2018","2018-11-01","Vol. XY","Proceedings","978-587663687","Berlin","2020.0","Workshop"
"Journal of Biomedical Informatics","Journal of Biomedical Informatics","2018","2018-07-01","15","Journal","nan","","",""
"Procedia Computer Science","Procedia Computer Science","2018","2018-07-27","1","Journal","nan","","",""
"18th International Multidisciplinary Scientific GeoConference SGEM2018, Energy and Clean Technologies","18th International Multidisciplinary Scientific GeoConference SGEM2018, Energy and Clean Technologies","2018","2018-06-20","Vol. XY","Proceedings","978-112105278","New York","2020.0","Conference"
"BMC Systems Biology","BMC Systems Biology","2018","2018-11-01","2","Journal","nan","","",""
"2018 5th International Conference on Advanced Informatics: Concept Theory and Applications (ICAICTA)","2018 5th International Conference on Advanced Informatics: Concept Theory and Applications (ICAICTA)","2018","2018-08-01","Vol. XY","Proceedings","978-616608305","Rome","2018.0","Conference"
"SIAM Journal on Mathematical Analysis","SIAM Journal on Mathematical Analysis","2018","2018-08-30","26","Journal","nan","","",""
"Hawaii International Conference on System Sciences","Hawaii International Conference on System Sciences","2018","2018-01-03","45","Journal","nan","","",""
"IEEE Chinese Guidance, Navigation and Control Conference","IEEE Chinese Guidance, Navigation and Control Conference","2018","2018-08-01","Vol. XY","Proceedings","978-117551199","Tokyo","2020.0","Conference"
"Int. J. Interact. Multim. Artif. Intell.","Int. J. Interact. Multim. Artif. Intell.","2018","","9","Journal","nan","","",""
"Journal of Physics: Conference Series","Physics: Conference Series","2018","2018-12-07","1114","Proceedings","978-329946759","Rome","2019.0","Conference"
"IEEE International Reliability Physics Symposium","IEEE International Reliability Physics Symposium","2018","2018-03-11","36","Journal","nan","","",""
"Neural Information Processing Systems","Neural Information Processing Systems","2018","2018-02-12","33","Journal","nan","","",""
"Medical Image Analysis","Medical Image Analysis","2018","","28","Journal","nan","","",""
"Global Communications Conference","Global Communications Conference","2018","2018-12-01","Vol. XY","Proceedings","978-481623395","Rome","2020.0","Conference"
"Requirements Engineering","Requirements Engineering","2018","2018-06-01","24","Journal","nan","","",""
"Statistics in Medicine","Statistics in Medicine","2018","2018-09-10","10","Journal","nan","","",""
"International Euromicro Conference on Parallel, Distributed and Network-Based Processing","International Euromicro Conference on Parallel, Distributed and Network-Based Processing","2018","2018-03-21","Vol. XY","Proceedings","978-838330807","Paris","2018.0","Conference"
"Journal of Intelligent & Fuzzy Systems","Journal of Intelligent & Fuzzy Systems","2018","2018-06-28","3","Journal","nan","","",""
"Frontiers of Computer Science","Frontiers of Computer Science","2018","2018-06-30","11","Journal","nan","","",""
"International Symposium on Information Theory","International Symposium on Information Theory","2018","2018-06-01","15","Journal","nan","","",""
"International Workshop on Combinatorial Algorithms","International Workshop on Combinatorial Algorithms","2018","2018-06-04","19","Journal","nan","","",""
"International Conference on Information Science and Applications","International Conference on Information Science and Applications","2018","2018-06-25","35","Journal","nan","","",""
"IEEE International Conference on Acoustics, Speech, and Signal Processing","IEEE International Conference on Acoustics, Speech, and Signal Processing","2018","2018-11-04","Vol. XY","Proceedings","978-661084044","Barcelona","2018.0","Conference"
"International Conference on Knowledge-Based Intelligent Information & Engineering Systems","International Conference on Knowledge-Based Intelligent Information & Engineering Systems","2018","","15","Journal","nan","","",""
"Journal on spesial topics in mobile networks and applications","Journal on spesial topics in mobile networks and applications","2018","2018-09-08","32","Journal","nan","","",""
"2018 2nd IEEE Conference on Energy Internet and Energy System Integration (EI2)","2018 2nd IEEE Conference on Energy Internet and Energy System Integration (EI2)","2018","2018-10-01","Vol. XY","Proceedings","978-755712905","Toronto","2022.0","Workshop"
"Modeling, Identification and Control","Modeling, Identification and Control","2018","2018-03-19","Vol. XY","Proceedings","978-835580267","Rome","2019.0","Conference"
"Proceedings of the 2018 on Audio/Visual Emotion Challenge and Workshop","International Proceedings of the 2018 on Audio/Visual Emotion Challenge and Workshop","2018","2018-10-15","43","Journal","nan","","",""
"SIGBED Rev.","SIGBED Rev.","2018","2018-03-20","33","Journal","nan","","",""
"International Conference on Computing: Theory and Applications","International Conference on Computing: Theory and Applications","2018","2018-05-03","Vol. XY","Proceedings","978-668977606","Paris","2020.0","Workshop"
"2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC / I&CPS Europe)","2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC / I&CPS Europe)","2018","2018-06-01","Vol. XY","Proceedings","978-665120843","Berlin","2020.0","Conference"
"Pacific Asia Conference on Language, Information and Computation","Pacific Asia Conference on Language, Information and Computation","2018","","19","Journal","nan","","",""
"Proceedings of the 2018 ACM SIGMIS Conference on Computers and People Research","International Proceedings of the 2018 ACM SIGMIS Conference on Computers and People Research","2018","2018-06-18","Vol. XY","Proceedings","978-420209889","New York","2018.0","Conference"
"OR","OR","2018","","48","Journal","nan","","",""
"Formalized Mathematics","Formalized Mathematics","2018","2018-07-01","45","Journal","nan","","",""
"IEEE India International Conference on Power Electronics","IEEE India International Conference on Power Electronics","2018","2018-12-01","Vol. XY","Proceedings","978-854443332","London","2020.0","Workshop"
"Computer Physics Communications","Computer Physics Communications","2018","2018-03-15","20","Journal","nan","","",""
"Computational Statistics & Data Analysis","Computational Statistics & Data Analysis","2018","","23","Journal","nan","","",""
"ValueTools","ValueTools","2018","2018-09-15","1","Journal","nan","","",""
"International Conference on Digital Preservation","International Conference on Digital Preservation","2018","2018-03-01","10","Journal","nan","","",""
"IEEE Transactions on Pattern Analysis and Machine Intelligence","IEEE Transactions on Pattern Analysis and Machine Intelligence","2018","2018-11-01","7","Journal","nan","","",""
"Pattern Analysis and Applications","Pattern Analysis and Applications","2018","2018-05-14","17","Journal","nan","","",""
"Brazilian Symposium on Information Systems","Brazilian Symposium on Information Systems","2018","2018-06-04","24","Journal","nan","","",""
"Adaptive Agents and Multi-Agent Systems","Adaptive Agents and Multi-Agent Systems","2018","2018-07-09","Vol. XY","Proceedings","978-347744141","Rome","2020.0","Conference"
"Message Understanding Conference","Message Understanding Conference","2018","","43","Journal","nan","","",""
"International Conferences on Communications, Signal Processing, and Systems","International Conferences on Communications, Signal Processing, and Systems","2018","2018-07-14","3","Journal","nan","","",""
"IEEE International Conference on Power Electronics, Drives and Energy Systems","IEEE International Conference on Power Electronics, Drives and Energy Systems","2018","2018-12-01","Vol. XY","Proceedings","978-645650920","Barcelona","2020.0","Conference"
"International Conference on Reliability, Maintainability and Safety","International Conference on Reliability, Maintainability and Safety","2018","2018-10-01","Vol. XY","Proceedings","978-206753029","Sydney","2019.0","Workshop"
"Conference on Information Technology Education","Conference on Information Technology Education","2018","2018-09-14","41","Journal","nan","","",""
"Future generations computer systems","Future generations computer systems","2018","2018-03-01","13","Journal","nan","","",""
"Workshop on Hyperspectral Image and Signal Processing","Workshop on Hyperspectral Image and Signal Processing","2018","2018-09-01","28","Journal","nan","","",""
"International Conference on High Performance Switching and Routing","International Conference on High Performance Switching and Routing","2018","2018-06-01","Vol. XY","Proceedings","978-926897559","Rome","2021.0","Conference"
"International Symposium on Modelling and Implementation of Complex Systems","International Symposium on Modelling and Implementation of Complex Systems","2018","2018-11-30","30","Journal","nan","","",""
"IEEE Transactions on Vehicular Technology","IEEE Transactions on Vehicular Technology","2018","2018-08-02","20","Journal","nan","","",""
"Chinese Conference on Pattern Recognition and Computer Vision","Chinese Conference on Pattern Recognition and Computer Vision","2018","2018-11-23","21","Journal","nan","","",""
"International Conference on Bio-inspired Systems and Signal Processing","International Conference on Bio-inspired Systems and Signal Processing","2018","","26","Journal","nan","","",""
"IEEE Annual Information Technology, Electronics and Mobile Communication Conference","IEEE Annual Information Technology, Electronics and Mobile Communication Conference","2018","2018-11-01","Vol. XY","Proceedings","978-480838869","Rome","2019.0","Conference"
"International Conference on Smart City and Systems Engineering","International Conference on Smart City and Systems Engineering","2018","2018-12-01","Vol. XY","Proceedings","978-660289928","Tokyo","2020.0","Workshop"
"Acta oncologica","Acta oncologica","2018","2018-04-26","44","Journal","nan","","",""
"npj Digital Medicine","npj Digital Medicine","2018","2018-11-08","8","Journal","nan","","",""
"The Compass","The Compass","2018","2018-06-20","1","Journal","nan","","",""
"Interacción","Interacción","2018","2018-07-15","18","Journal","nan","","",""
"IEEE International Conference on Multimedia and Expo","IEEE International Conference on Multimedia and Expo","2018","2018-04-12","Vol. XY","Proceedings","978-881950181","London","2018.0","Conference"
"USENIX Workshop on Hot Topics in Storage and File Systems","USENIX Workshop on Hot Topics in Storage and File Systems","2018","","10","Journal","nan","","",""
"Neurocomputing","Neurocomputing","2018","2018-01-31","19","Journal","nan","","",""
"International Conference on Language Resources and Evaluation","International Conference on Language Resources and Evaluation","2018","2018-05-01","22","Journal","nan","","",""
"IEEE International Conference on Systems, Man and Cybernetics","IEEE International Conference on Systems, Man and Cybernetics","2018","2018-10-01","Vol. XY","Proceedings","978-206309788","Barcelona","2020.0","Workshop"
"Embedded Systems and Applications","Embedded Systems and Applications","2018","2018-08-08","16","Proceedings","978-326490713","Rome","2020.0","Conference"
"International Conference on Data Technologies and Applications","International Conference on Data Technologies and Applications","2018","2018-10-01","3","Journal","nan","","",""
"International Conference on Algorithms and Architectures for Parallel Processing","International Conference on Algorithms and Architectures for Parallel Processing","2018","2018-11-15","29","Journal","nan","","",""
"International Conference on e-Health Networking, Applications and Services","International Conference on e-Health Networking, Applications and Services","2018","2018-09-01","Vol. XY","Proceedings","978-784717271","Barcelona","2018.0","Conference"
"2018 14th International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob)","2018 14th International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob)","2018","2018-10-01","Vol. XY","Proceedings","978-641261195","New York","2020.0","Workshop"
"PLoS Computational Biology","PLoS Computational Biology","2018","2018-11-23","3","Journal","nan","","",""
"Proceedings of the 2018 Afternoon Workshop on Kernel Bypassing Networks","International Proceedings of the 2018 Afternoon Workshop on Kernel Bypassing Networks","2018","2018-08-07","13","Journal","nan","","",""
"Transportation Research Record","Transportation Research Record","2018","2018-08-02","15","Journal","nan","","",""
"Journal of Intelligent & Robotic Systems","Intelligent & Robotic Systems","2018","","36","Journal","nan","","",""
"IEEE International Conference on Nano/Micro Engineered and Molecular Systems","IEEE International Conference on Nano/Micro Engineered and Molecular Systems","2018","2018-04-01","Vol. XY","Proceedings","978-415472887","Toronto","2019.0","Conference"
"Physical Review E","Physical Review E","2018","2018-01-28","26","Journal","nan","","",""
"Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","2018","2018-10-08","18","Journal","nan","","",""
"Cluster Computing","Cluster Computing","2018","2018-07-24","19","Journal","nan","","",""
"Annals of Operations Research","Annals of Operations Research","2018","2018-09-05","22","Journal","nan","","",""
"The European Symposium on Artificial Neural Networks","The European Symposium on Artificial Neural Networks","2018","","9","Journal","nan","","",""
"The Review","The Review","2018","2018-03-21","31","Journal","nan","","",""
"ACM Transactions on Graphics","ACM Transactions on Graphics","2018","2018-12-04","6","Journal","nan","","",""
"ACM International Workshop on Mobility Management and Wireless Access","ACM International Workshop on Mobility Management and Wireless Access","2018","2018-10-25","9","Journal","nan","","",""
"Journal of Information Processing Systems","Journal of Information Processing Systems","2018","2018-10-01","34","Journal","nan","","",""
"Computational Intelligence and Neuroscience","Computational Intelligence and Neuroscience","2018","2018-07-24","13","Journal","nan","","",""
"International Conference on Artificial Intelligence and Soft Computing","International Conference on Artificial Intelligence and Soft Computing","2019","2019-06-16","11","Journal","nan","","",""
"Physica medica (Testo stampato)","Physica medica (Testo stampato)","2019","2019-04-01","42","Journal","nan","","",""
"IEEE Symposium Series on Computational Intelligence","IEEE Symposium Series on Computational Intelligence","2019","2019-12-01","39","Journal","nan","","",""
"International Conference on Software Engineering and Knowledge Engineering","International Conference on Software Engineering and Knowledge Engineering","2019","2019-07-10","48","Journal","nan","","",""
"Machine Learning in Health Care","Machine Learning in Health Care","2019","2019-10-28","10","Journal","nan","","",""
"International Conference on ASIC","International Conference on ASIC","2019","2019-10-01","Vol. XY","Proceedings","978-896292600","New York","2019.0","Conference"
"Int. J. Child Comput. Interact.","Int. J. Child Comput. Interact.","2019","2019-09-01","13","Journal","nan","","",""
"International Conference on Computational Photography","International Conference on Computational Photography","2019","2019-09-01","Vol. XY","Proceedings","978-893894847","Tokyo","2018.0","Conference"
"IEEE International Symposium on On-Line Testing and Robust System Design","IEEE International Symposium on On-Line Testing and Robust System Design","2019","2019-07-01","23","Journal","nan","","",""
"International Conference on Transparent Optical Networks","International Conference on Transparent Optical Networks","2019","2019-07-01","Vol. XY","Proceedings","978-194993057","Tokyo","2020.0","Conference"
"Journal of automated reasoning","Journal of automated reasoning","2019","2019-08-13","32","Journal","nan","","",""
"IEEE Transactions on Visualization and Computer Graphics","IEEE Transactions on Visualization and Computer Graphics","2019","2019-10-01","6","Journal","nan","","",""
"International Conference on Medical Image Computing and Computer-Assisted Intervention","International Conference on Medical Image Computing and Computer-Assisted Intervention","2019","2019-07-01","38","Journal","nan","","",""
"Biomedical Circuits and Systems Conference","Biomedical Circuits and Systems Conference","2019","2019-10-01","Vol. XY","Proceedings","978-314573024","Berlin","2018.0","Conference"
"IET Image Processing","IET Image Processing","2019","2019-10-23","44","Journal","nan","","",""
"Journal of Occupational and Environmental Hygiene","Journal of Occupational and Environmental Hygiene","2019","2019-09-18","27","Journal","nan","","",""
"Proceedings of the 1st International Scientific Conference ""Modern Management Trends and the Digital Economy: from Regional Development to Global Economic Growth"" (MTDE 2019)","International Scientific Conference ""Modern Management Trends and the Digital Economy: from Regional Development to Global Economic Growth"" (MTDE 2019)","2019","2019-05-01","Vol. XY","Proceedings","978-957130373","Rome","2019.0","Conference"
"International Conference on Information Photonics","International Conference on Information Photonics","2019","2019-09-01","Vol. XY","Proceedings","978-565070282","Sydney","2022.0","Workshop"
"IFIP/IEEE Symposium on Integrated Network Management","IFIP/IEEE Symposium on Integrated Network Management","2019","","18","Journal","nan","","",""
"International Conference on Applied Human Factors and Ergonomics","International Conference on Applied Human Factors and Ergonomics","2019","2019-07-24","40","Journal","nan","","",""
"Proceedings of the 2019 European Conference on Computing in Construction","International Proceedings of the 2019 European Conference on Computing in Construction","2019","2019-07-10","Vol. XY","Proceedings","978-586636807","Rome","2022.0","Conference"
"EURASIP Journal on Wireless Communications and Networking","EURASIP Journal on Wireless Communications and Networking","2019","2019-12-01","23","Journal","nan","","",""
"International Symposium on Networks, Computers and Communications","International Symposium on Networks, Computers and Communications","2019","2019-06-01","6","Journal","nan","","",""
"Journal of computational biology : a journal of computational molecular cell biology","computational biology : a journal of computational molecular cell biology","2019","2019-06-20","16","Journal","nan","","",""
"International Test Conference","International Test Conference","2019","2019-11-01","Vol. XY","Proceedings","978-658461367","Barcelona","2020.0","Conference"
"IEEE Transactions on Neural Networks and Learning Systems","IEEE Transactions on Neural Networks and Learning Systems","2019","2019-02-01","28","Journal","nan","","",""
"Robotics Comput. Integr. Manuf.","Robotics Comput. Integr. Manuf.","2019","2019-08-01","48","Journal","nan","","",""
"2019 International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS)","2019 International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS)","2019","2019-11-01","Vol. XY","Proceedings","978-330583295","Tokyo","2018.0","Conference"
"International Conference on Software, Knowledge, Information Management and Applications","International Conference on Software, Knowledge, Information Management and Applications","2019","2019-08-01","Vol. XY","Proceedings","978-941662512","Paris","2022.0","Conference"
"Neurology","Neurology","2019","2019-04-09","47","Journal","nan","","",""
"Ai & Society","Ai & Society","2019","2019-03-01","37","Journal","nan","","",""
"Interactive Learning Environments","Interactive Learning Environments","2019","2019-08-16","17","Journal","nan","","",""
"Management Sciences","Management Sciences","2019","2019-04-01","41","Journal","nan","","",""
"Journal of the Franklin Institute","Journal of the Franklin Institute","2019","2019-06-01","13","Journal","nan","","",""
"IEEE PES Asia-Pacific Power and Energy Engineering Conference","IEEE PES Asia-Pacific Power and Energy Engineering Conference","2019","2019-12-01","Vol. XY","Proceedings","978-244149644","Barcelona","2020.0","Conference"
"IACR Cryptology ePrint Archive","IACR Cryptology ePrint Archive","2019","2019-09-30","9","Journal","nan","","",""
"IEEE Symposium on Security and Privacy","IEEE Symposium on Security and Privacy","2019","2019-02-04","10","Journal","nan","","",""
